Year,UNIT_MEASURE,Regions,Value,M49_country_code,Unit multiplier,SERIES,COMMENT_TS,unique_id,col_caption_name,col_caption_name1_empty,year,value
2018.0,tenge per US dollars in 2010 prices,Nur-Sultan city,790.2,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Almaty city,963.7,KAZ,,,,,,,,
2019.0,"percent, base year 2010",,10.9,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Akmola,15.2,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Aktobe,9.1,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Almaty,14.6,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Atyrau,4.4,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Batys Kazakhstan,4.9,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Zhambyl,12.5,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Karagandy,27.2,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Kostanay,11.7,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Kyzylorda,3.9,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Mangistau,4.4,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Pavlodar,23.0,KAZ,,,,,,,,
2019.0,"percent, base year 2010",Soltustik Kazakhstan,7.6,KAZ,,,,,,,,
