Year,Age,Area,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2012.0,,rural,Atyrau,50.10386373078521,KAZ,,,,,,,
2012.0,,rural,Batys Kazakhstan,29.055690072639223,KAZ,,,,,,,
2012.0,,rural,Zhambyl,51.3758755151448,KAZ,,,,,,,
2012.0,,rural,Karagandy,27.72907066835216,KAZ,,,,,,,
2012.0,,rural,Kostanay,29.378384513116508,KAZ,,,,,,,
2012.0,,rural,Kyzylorda,25.477707006369428,KAZ,,,,,,,
2012.0,,rural,Mangistau,59.0728247708009,KAZ,,,,,,,
2012.0,,rural,Ontustik Kazakhstan,34.538722929451744,KAZ,,,,,,,
2012.0,,rural,Pavlodar,30.34775934344925,KAZ,,,,,,,
2012.0,,rural,Soltustik Kazakhstan,27.964294178055138,KAZ,,,,,,,
2012.0,,rural,Shygys Kazakhstan,22.91130799275984,KAZ,,,,,,,
2013.0,age: 10-14 years old,,,0.0379838532448611,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Akmola,0.0876577840112202,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Aktobe,0.0822351514154725,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Almaty,0.0306327970041124,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Atyrau,0.0496339496215411,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Batys Kazakhstan,0.0541023074634133,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Zhambyl,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Karagandy,0.0252847697189597,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Kostanay,0.1215288327155617,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Kyzylorda,0.0343554066821265,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Mangistau,0.0459579943931246,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Ontustik Kazakhstan,0.0084691574458714,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Pavlodar,0.0985197408930814,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Soltustik Kazakhstan,0.060560181680545,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Shygys Kazakhstan,0.0533560986020702,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Nur-Sultan city,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,,Almaty city,0.0288971406279348,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,,0.0307675740537047,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Akmola,0.1066098081023454,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Aktobe,0.0755829333736442,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Almaty,0.0,KAZ,,,,,,,
