Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,COMPOSITE_BREAKDOWN
2018,thousands,_L_KZ_170602_1B,Pavlodar,47.9,KAZ,
2018,thousands,_L_KZ_170602_1B,Soltustik Kazakhstan,54.2,KAZ,
2018,thousands,_L_KZ_170602_1B,Turkistan,49.5,KAZ,
2018,thousands,_L_KZ_170602_1B,Shygys Kazakhstan,84.3,KAZ,
2018,thousands,_L_KZ_170602_1B,Nur-Sultan city,44.9,KAZ,
2018,thousands,_L_KZ_170602_1B,Almaty city,112.2,KAZ,
2018,thousands,_L_KZ_170602_1B,Shymkent city,26.9,KAZ,
2018,thousands,_L_KZ_170602_1A,Akmola,28.0,KAZ,
2018,thousands,_L_KZ_170602_1A,Aktobe,51.9,KAZ,
2018,thousands,_L_KZ_170602_1A,Almaty,27.1,KAZ,
2018,thousands,_L_KZ_170602_1A,Atyrau,35.4,KAZ,
2018,thousands,_L_KZ_170602_1A,Batys Kazakhstan,39.4,KAZ,
2018,thousands,_L_KZ_170602_1A,Zhambyl,34.3,KAZ,
2018,thousands,_L_KZ_170602_1A,Karagandy,170.9,KAZ,
2018,thousands,_L_KZ_170602_1A,Kostanay,83.5,KAZ,
2018,thousands,_L_KZ_170602_1A,Kyzylorda,15.0,KAZ,
2018,thousands,_L_KZ_170602_1A,Mangistau,39.5,KAZ,
2018,thousands,_L_KZ_170602_1A,Pavlodar,98.7,KAZ,
2018,thousands,_L_KZ_170602_1A,Soltustik Kazakhstan,48.7,KAZ,
2018,thousands,_L_KZ_170602_1A,Turkistan,2.2,KAZ,
2018,thousands,_L_KZ_170602_1A,Shygys Kazakhstan,105.6,KAZ,
2018,thousands,_L_KZ_170602_1A,Nur-Sultan city,173.3,KAZ,
2018,thousands,_L_KZ_170602_1A,Almaty city,276.4,KAZ,
2018,thousands,_L_KZ_170602_1A,Shymkent city,46.5,KAZ,
2019,thousands,,,2511.2,KAZ,
2019,thousands,_L_KZ_170602_1C,,52.7,KAZ,
2019,thousands,_L_KZ_170602_1C,Akmola,2.6,KAZ,
2019,thousands,_L_KZ_170602_1C,Aktobe,1.5,KAZ,
2019,thousands,_L_KZ_170602_1C,Almaty,1.5,KAZ,
2019,thousands,_L_KZ_170602_1C,Atyrau,1.7,KAZ,
2019,thousands,_L_KZ_170602_1C,Batys Kazakhstan,1.2,KAZ,
2019,thousands,_L_KZ_170602_1C,Zhambyl,0.9,KAZ,
